Attribute,Description,Valid Values,DependsOn,Required,Properties,Parent,DependsOn Component,Source,Validation Rules,Nonpreferred Terms,Ontology Identifier,Ontology Url,NCIt Code,Notes
Discussion Forum,,,,FALSE,,Tool Link Type,,,,,GSSO:005459,http://purl.obolibrary.org/obo/GSSO_005459,,
Galaxy Service,,,,FALSE,,Tool Link Type,,,,,,,,
Helpdesk,"A phone line, web site or email-based system providing help to the end-user of the software.",,,FALSE,,Tool Link Type,,,,,,,,
Issue Tracker,,,,FALSE,,Tool Link Type,,,,,,,,
Mailing list,"Mailing list for the software announcements, discussions, support etc.",,,FALSE,,Tool Link Type,,,,,,,,
Mirror,Mirror of an (identical) online service.,,,FALSE,,Tool Link Type,,,,,,,,
Other,Other type of link for software - the default if a more specific type is not available.,,,FALSE,,Tool Link Type,,,,,,,,
Repository,"A place where source code, data and other files can be retrieved from, typically via platforms like GitHub which provide version control and other features, or something simpler, e.g. an FTP site.",,,FALSE,,Tool Link Type,,,,,APOLLO_SV:00000522,http://purl.obolibrary.org/obo/APOLLO_SV_00000522,,
Service,An online service (other than Galaxy) that provides access (an interface) to the software.,,,FALSE,,Tool Link Type,,,,,NCIT:C80736,http://purl.obolibrary.org/obo/NCIT_C80736,C80736,
Social Media,,,,FALSE,,Tool Link Type,,,,,MESH:D061108,http://id.nlm.nih.gov/mesh/D061108,,
Software Catalogue,,,,FALSE,,Tool Link Type,,,,,,,,
Technical Monitoring,,,,FALSE,,Tool Link Type,,,,,,,,
