Attribute,Description,Valid Values,DependsOn,Required,Properties,Parent,DependsOn Component,Source,Validation Rules
Biospecimen,Metadata attributes for describing a tissue or tumor sample,,"Component, Biospecimen_id, Individual ID, Biospecimen ID, Biospecimen Type, Biospecimen Species, Sex, Age at Sample Collection, Biospecimen Tumor Type, Tumor Subtype, Tumor Grade, Biospecimen Composition, Known Metastasis Sites, Survival Outcome, Preservation Method, Site of Resection or Biopsy, Site of Origin, Timepoint, Health Care Site",FALSE,,,,,
Biospecimen_id,"Unique row identifier, used as a primary key for record updates",,,TRUE,,,,MC2,unique
Individual ID,ID associated with a study participant,,,TRUE,,,,HTAN,
Biospecimen ID,ID associated with a biosample,,,TRUE,,,,HTAN,
Biospecimen Type,The type of biospecimen,"Tissue, Blood, Analyte, Mouth Rinse, Stool, Urine, Ascites, Sputum, Fluids, Bone Marrow, Cells",,TRUE,,,,HTAN,
Biospecimen Species,The species from which the biospecimen originates,"African Bush Elephant, Armadillo, Asian Elephant, Boar, Cat, Chicken, Cow, Dog, Escherichia coli, Guinea Pig, Horse, Human, Mouse, Multispecies, Opossum, Rabbit, Rat, Rhesus monkey, Sheep, Trichoplax adhaerens, Unknown, Unspecified, Worm, Yeast, Fruit Fly, Zebrafish",,TRUE,,,,MC2,
Sex,Biological sex associated with the specimen donor,"M, F, Other, Unknown",,FALSE,,,,MC2/STE,str
Age at Sample Collection,"Age at the time the biospecimen was collected, expressed in number of years since birth.",,,FALSE,,,,HTAN,
Biospecimen Tumor Type,"The type of tumor associated with the specimen. Multiple values permitted, comma separated.","Cutaneous Melanoma, Acinar Cell Carcinoma, Acute Lymphoblastic Leukemia, Acute Monocytic Leukemia, Acute Myeloid Leukemia, Acute Promyelocytic Leukemia, Adenocarcinoma, Angiosarcoma, Astrocytoma, Atypical Teratoid/Rhabdoid Tumor, B Acute Lymphoblastic Leukemia, B-Cell Non-Hodgkin Lymphoma, Barrett Esophagus, Basal Cell Neoplasm, Basal-Like Breast Carcinoma, Biliary Tract Carcinoma, Bladder Carcinoma, Bladder Neoplasm, Bone Neoplasm, Brain Neoplasm, Breast Adenocarcinoma, Breast Carcinoma, Breast Neoplasm, Carcinoma, Carcinoma In Situ, Castration-Resistant Prostate Carcinoma, Cellular Schwannoma, Central Nervous System Cavernous Hemangioma, Central Nervous System Neoplasm, Cerebellar Neoplasm, Cervical Carcinoma, Cervical Neoplasm, Cervical Small Cell Carcinoma, Cholangiocarcinoma, Chondroblastoma, Choriocarcinoma, Chronic Lymphocytic Leukemia, Chronic Myeloid Leukemia, Clear Cell Renal Cell Carcinoma, Colon Adenocarcinoma, Colon Carcinoma, Colorectal Adenocarcinoma, Colorectal Adenoma, Colorectal Carcinoma, Colorectal Neoplasm, Combined Hepatocellular Carcinoma and Cholangiocarcinoma, Craniopharyngioma, Cutaneous T Cell Lymphoma, Diffuse Large B-Cell Lymphoma, Ductal Breast Carcinoma In Situ, Dysembryoplastic Neuroepithelial Neoplasm, Endometrial Carcinoma, Endometrial Neoplasm, Ependymoma, Esophageal Adenocarcinoma, Esophageal Carcinoma, Esophageal Squamous Cell Carcinoma, Ewing Sarcoma, Extraventricular Neurocytoma, Fibroepithelial Polyp, Fibrolamellar Carcinoma, Fibrosarcoma, Follicular Lymphoma, Gallbladder Carcinoma, Gastric Adenocarcinoma, Gastric Carcinoma, Gastric Neoplasm, Gastroesophageal Adenocarcinoma, Gastroesophageal Junction Adenocarcinoma, Gastrointestinal Stromal Neoplasm, Giant Cell Tumor, Glioblastoma, Glioma, Head and Neck Carcinoma, Head and Neck Neoplasm, Head and Neck Squamous Cell Carcinoma, Hepatocellular Carcinoma, High Grade Ovarian Serous Adenocarcinoma, Histiocytic Sarcoma, Hodgkin Lymphoma, Intestinal Neoplasm, Intrahepatic Cholangiocarcinoma, Invasive Ductal Breast Carcinoma, Kaposi Sarcoma, Leiomyoma, Leukemia, Liver and Intrahepatic Bile Duct Carcinoma, Liver and Intrahepatic Bile Duct Neoplasm, Low Grade Glioma, Luminal A Breast Carcinoma, Lung Adenocarcinoma, Lung Carcinoma, Lung Neoplasm, Lung Non-Small Cell Carcinoma, Lung Small Cell Carcinoma, Lung Squamous Cell Carcinoma, Lymphoid Leukemia, Lymphoma, Malignant Brain Neoplasm, Malignant Digestive System Neoplasm, Malignant Genitourinary System Neoplasm, Malignant Glioma, Malignant Neoplasm, Malignant Ovarian Neoplasm, Malignant Pancreatic Neoplasm, Malignant Peripheral Nerve Sheath Tumor, Malignant Peritoneal Neoplasm, Malignant Skin Neoplasm, Mantle Cell Lymphoma, Marginal Zone Lymphoma, Medulloblastoma, Melanoma, Meningioma, Mesothelioma, Multiple Myeloma, Mycosis Fungoides, Myeloid Leukemia, Myeloid Neoplasm, Myeloproliferative Neoplasm, Myoepithelioma, Nasopharyngeal Carcinoma, Neuroblastoma, Neuroendocrine Neoplasm, Neuroepithelial Neoplasm, Neurofibroma, Non-Functioning Pituitary Gland Adenoma, Non-Hodgkin Lymphoma, Not Applicable, Oral Cavity Neoplasm, Oral Cavity Squamous Cell Carcinoma, Oropharyngeal Neoplasm, Osteosarcoma, Ovarian Adenosarcoma, Ovarian Carcinoma, Ovarian Neoplasm, Ovarian Serous Adenocarcinoma, Pan-cancer, Pancreatic Adenocarcinoma, Pancreatic Carcinoma, Pancreatic Ductal Adenocarcinoma, Pancreatic Neoplasm, Pancreatic Neuroendocrine Carcinoma, Pending Annotation, Penile Carcinoma, Pheochromocytoma, Pilocytic Astrocytoma, Pituitary Gland Adenoma, Plasmablastic Lymphoma, Plasmacytoma, Plexiform Schwannoma, Precursor B-cell lymphoblastic leukemia, Primary Central Nervous System Lymphoma, Primary Myelofibrosis, Prostate Adenocarcinoma, Prostate Carcinoma, Prostate Neoplasm, Rectal Adenocarcinoma, Renal Cell Carcinoma, Retinoblastoma, Rhabdomyosarcoma, Rosette-Forming Glioneuronal Tumor, Salivary Gland Adenoid Cystic Carcinoma, Sarcoma, Schwannoma, Serous Tubal Intraepithelial Carcinoma, Sinonasal Squamous Cell Carcinoma, Skin Carcinoma, Skin Neoplasm, Soft Tissue Sarcoma, Squamous Cell Carcinoma, Synovial Sarcoma, T Acute Lymphoblastic Leukemia, T-Cell Lymphoma, Teratoma, Testicular Embryonal Carcinoma, Thyroid Gland Anaplastic Carcinoma, Thyroid Gland Carcinoma, Thyroid Gland Noninvasive Follicular Neoplasm with Papillary-Like Nuclear Features, Triple-Negative Breast Carcinoma, Urothelial Carcinoma, Uterine Adenosarcoma, Uveal Melanoma, Uveal Neoplasm, Vascular Neoplasm, Not-Applicable, Plexiform Neurofibroma",,FALSE,,,,MC2,
Tumor Subtype,"The subtype related to the scientific determination and investigation, analysis and recognition of the presence and nature of disease, condition, or injury from expressed signs and symptoms of tissue growth resulting from uncontrolled cell proliferation.","TNBC, LumA, LumB, HER2, Not Applicable",,FALSE,,,,MC2/STE,
