Attribute,Description,Valid Values,DependsOn,Required,Properties,Parent,DependsOn Component,Source,Validation Rules,Nonpreferred Terms,Ontology Identifier,Ontology Url,NCIt Code,Notes
10-cell RNA Sequencing,A procedure that can determine the RNA sequences for all or part of the poly-A tail-containing messenger RNA transcripts in an individual.,,,FALSE,,,,pubMed,,10-cell rna sequencing,PMID:30894605,https://pubmed.ncbi.nlm.nih.gov/30894605/,,
16S Ribosomal Gene Sequencing Assay,,,,FALSE,,,,OBI,,"16s ribosomal gene sequencing assay, 16S rRNA sequencing, 16S Ribosomal RNA Sequencing, 16S rRNA gene amplification, 16S ribosomal RNA sequencing",OBI:0002763,http://purl.obolibrary.org/obo/OBI_0002763,,
3' RNA-seq,"A molecular genetic technique that combines chromatin immunoprecipitation (ChIP) with massively parallel DNA sequencing to map the binding sites of DNA-associated proteins in a sample of cells. First, crosslinked protein-DNA complexes are isolated using ChIP. Next, the crosslinks are broken, the proteins are removed and the purified DNA is modified with adaptor oligonucleotides to facilitate massively parallel DNA sequencing. Following sequencing, the DNA sequences that are obtained can be mapped to their genomic locations.",,,FALSE,,,,,,,,,,
3C,,,,FALSE,,,,EFO,,"3c, Chromosome Conformation NG Capture-C Assay, Chromosome Conformation Capture Assay",EFO:0007689,https://www.ebi.ac.uk/ols/ontologies/efo/terms?iri=http%3A%2F%2Fwww.ebi.ac.uk%2Fefo%2FEFO_0007689,,
3C-qPCR,,,,FALSE,,,,,,"Quantitative analysis of chromosome conformation capture assays, 3c-qpcr",,,,Not in any ontologies or NCIt
3D Bioprinting,,,,FALSE,,,,PubMed,,,PMID:26724184,https://pubmed.ncbi.nlm.nih.gov/26724184/,,Added by Brynn 09/23/2022
3D Cell Culture,,,,FALSE,,,,,,"3d cell culture, 3D culture, 3D cell culture",,,,
4C,,,,FALSE,,,,EFO,,"4C, 4c",EFO:0007690,http://www.ebi.ac.uk/efo/EFO_0007690,,
5C,,,,FALSE,,,,EFO,,"5c, 5C",EFO:0007692,http://www.ebi.ac.uk/efo/EFO_0007692,,
ATAC-Seq,"A molecular genetic technique that isolates and sequences chromosomal regions that are rich in open chromatin. First, nuclei are harvested from a cellular sample. Then a hyperactive Tn5 transposase is added to the nuclei where it excises non-nucleosomal DNA strands and ligates co-administered high-throughput sequencing adapters (tagmentation).  The tagged DNA fragments are isolated, amplified by PCR and sequenced. The number of reads for specific region of DNA correlate with increased chromatin accessibility and this method can identify regions of transcription factor and nucleosome binding.",,,FALSE,,,,,,"Assay for Transposase-Accessible Chromatin Using Sequencing, Assay for Transposase Accessible Chromatin with High-Throughput Sequencing, ATACSeq, ATAC-seq (assay for Transposase-Accessible Chromatin (ATAC) strategy is used to study genome-wide chromatin accessibility), Assay for Transposase-Accessible Chromatin Sequencing",,https://ncithesaurus.nci.nih.gov/ncitbrowser/pages/concept_details.jsf?dictionary=NCI_Thesaurus&version=21.03e&code=C156056&ns=ncit&type=properties&key=null&b=1&n=0&vse=null,C156056,
